id,title,author_id,published_date,isbn,pages
0,nxvxjZyHAg,0,1990-02-09,OdmMniugWG,6494
1,cuXOhXBlxI,6,1980-03-16,yJFYNQUedd,9441
2,couBUVpFhi,6,2002-09-02,YmWOaTKiMC,5684
3,yQMJsWAZBe,5,1999-04-30,zrzYiZsyZH,9180
4,GDriAiMWsC,7,1981-02-21,OgOAHRhncm,3679
5,FeoicwhaNO,5,1974-01-13,NpZorBAsFv,144
6,GdTNFoCzBv,5,2009-12-04,zsPmXcQUJI,5198
7,qZoVrWWMVD,8,1977-05-18,MPNzzIWYXc,7416
8,CRGlZdUqAq,8,1990-05-23,WJRFfUfFlS,3950
9,BEzbOGaOIa,8,1983-05-22,UfFbiphJTi,4917
10,HpDvzwWJiV,8,1999-06-25,KdFuGagBhE,3185
11,FoLaViStHq,1,1974-11-08,DdHSLMgmPh,3346
12,kPCNDhBWMV,2,1996-11-09,IxoWomwjjQ,5268
13,RXwVCWkOFU,2,2006-01-06,HgsxZKByqr,3556
14,bBWKOKpHvi,7,1998-08-29,iWPGTVJkJC,704
15,SBQYciqIqD,0,1970-10-11,XJMcLNKBqk,4922
16,HvzBNslVbW,9,1971-02-03,urlXHNQHqv,8506
17,SsuTjnDHQw,8,2007-11-08,ihOFKHtdZM,7685
18,XlYxazKtuA,7,2009-11-04,chzmPbwhbB,6314
19,eoAaiPruUf,3,1975-01-20,aRnCzdVnmb,4086
20,IosWOKLjwu,3,1998-06-20,yJkngYVeFM,1857
21,IsXaXXtACz,8,1980-04-23,yDXEfCdBrc,9869
22,ivEEWfrdqG,6,1989-02-11,RWteposuFD,5880
23,agjxDKzBuT,0,1994-02-21,PdmDfPZMUj,9449
24,SqTPliCnjD,7,2002-11-30,toDzQaLKvr,4170
25,kWcWegiVWQ,4,2004-12-16,CZmvidUiff,8791
26,oFVuBnLAvj,6,1976-06-21,ZJuOrLgxSx,5123
27,PEOItIXOro,3,1978-02-25,OpBpxauSYH,1630
28,PRrCyotCdk,7,1974-07-18,AGWNEahqsQ,8447
29,aXeXzXrUnM,3,1983-04-20,WQYgqjUMZy,9960
