book_id,author_id,quantity
4,1,173
11,6,173
25,3,423
2,9,642
11,3,466
13,5,709
4,8,118
25,8,173
1,2,56
12,6,241
26,5,631
27,9,624
22,3,653
16,3,474
1,3,121
3,6,668
10,6,721
10,2,615
9,9,764
2,6,185
28,6,455
5,7,329
8,1,95
14,1,694
3,1,283
19,4,450
22,8,911
26,4,842
17,2,97
5,0,952
9,4,145
15,8,842
25,6,993
18,4,472
2,4,241
13,2,505
8,2,877
21,0,74
13,6,2
22,1,963
24,3,764
17,3,887
0,2,185
15,2,209
28,9,600
14,0,173
26,3,68
4,6,887
22,5,801
18,3,619
9,3,938
24,8,41
21,4,35
6,4,540
14,8,386
