id,title,author_id,published_date,isbn,pages
0,Mystery,9,2058-08-22,Hjsiezf,102.65425296795294
1,Fantasy,39,2099-10-21,amNVACXDL,84.95104765069392
2,History,38,2074-04-23,HTiXbMKIvVr,78.30272900973588
3,Children,89,2081-05-08,lLtgiOGYAEULQREssE,83.54729967894475
4,Mystery,48,2020-08-20,qCLPnlOEgw,81.69347889771822
5,Non-Fiction,57,2006-12-31,w,81.99674926336903
6,Fiction,29,2014-04-26,sxDubBeSVxetj,117.71450679986307
7,Horror,8,2084-11-12,TyXagL,65.3042204171805
8,Non-Fiction,9,2075-10-08,RXWzgvENt,81.94444323011308
9,Horror,23,2050-09-22,OcJvP,78.07637418352095
10,History,8,2009-07-05,ZqCaLN,100.84669641169734
11,Biography,58,2037-11-21,FMvZTNlIYxIMhFn,64.14193821347068
12,Horror,17,2067-08-02,ImNWwyrTRyNSF,94.6397156193117
13,Science,94,2078-05-03,UhETzNql,100.89711934140605
14,Science,56,2044-06-28,iXMZaTKblcPK,83.39277179945293
15,Fantasy,1,2064-04-20,kbMqdS,83.0437523030491
16,Children,91,2099-06-06,QwcANidgFC,69.6654834297853
17,Children,22,2027-04-02,VOEqXWQqFIZSosVbFVm,85.01723971790275
18,Children,73,2046-05-13,sHwwLLDiAUWUmIRQ,69.7301795837382
19,Children,25,2091-04-23,IGsKBymrBtkB,63.33733690946069
20,Fantasy,68,2003-12-13,esuvIYsBVAqtIYG,85.21278302566981
21,Science,93,2067-01-31,ZABBQGQtKWr,111.01413561255482
22,Horror,38,2095-01-10,M,88.14280601009717
23,Fantasy,46,2030-09-04,IHlIxNsQ,83.80255769624121
24,Children,27,2023-01-21,KaAXeDxP,91.19303742991562
25,Fiction,17,2050-04-06,tlpMdqmWBAGln,115.64802211995128
26,Mystery,13,2044-06-22,ueEwzzMZZUBifzsMR,103.14036818471118
27,Non-Fiction,64,2031-05-02,ejaYYFeRa,97.99414201341564
28,Fantasy,99,2002-01-27,aSK,74.98978546350608
29,History,66,2074-08-21,IHViYWrpS,92.99869138332818
30,Children,75,2074-08-01,MFnVL,81.65397566033515
31,Romance,14,2083-06-26,ooXOFXDENSoVK,81.99607650288789
32,History,46,2040-03-06,JowyvgGQIxfruDeBfC,62.49513099281537
33,Romance,34,2000-03-31,WlagXtQkvItcpKbqPPI,107.39629288295387
34,Mystery,37,2019-11-20,BYFGgrIsx,85.00591046228952
35,Horror,12,2092-06-28,vosCobPsX,75.08894364371058
36,Horror,40,2098-04-17,hMLsmJeBMvUQTZuqcTp,84.77703569239208
37,Fantasy,44,2001-01-21,TL,88.6488456427662
38,Horror,9,2021-10-02,SWSZjshjCOhIszFAZ,89.14598704932571
39,Non-Fiction,60,2095-10-09,PlGBJfJ,59.74529868051787
40,Children,70,2078-05-15,ikdpFDwNFCGlrOOhkTM,96.1107352423242
41,Mystery,10,2017-05-10,e,98.0005327565549
42,Mystery,53,2087-07-27,QeLIx,79.51149148056015
43,Romance,39,2031-09-05,LJIMwpYqojZ,90.3136848490608
44,Mystery,83,2042-02-01,FTPjlZEClWQ,72.53581335137474
45,Science,45,2026-02-05,NTOx,66.92768923282327
46,History,12,2024-02-12,IMVe,93.03004936936114
47,Fiction,9,2030-12-24,DsUzgaHFDyntOmOW,65.19190430057411
48,Romance,80,2047-12-26,fZZXRFwINHiHcsfNwohX,98.48875054584305
49,Fantasy,97,2078-04-28,A,82.03225721216458
50,Fantasy,38,2089-09-14,gc,54.10243497392207
51,Non-Fiction,78,2029-12-09,XpDpAwHizpWuKrktzGhW,67.65796236227976
52,History,3,2032-06-19,Uzw,90.00668116862856
53,Science,82,2072-02-19,YE,66.07074489921423
54,Mystery,46,2035-08-23,IMbVvEHGVYLUOzsH,44.15398155878663
55,Science,77,2076-12-29,FPWl,58.06002723528865
56,Science,20,2093-03-27,vrdwZy,68.02230738303528
57,Horror,68,2071-08-14,gSfLUKTJchMPVa,73.16744801838615
58,Science,30,2028-02-24,k,94.40285458859191
59,Non-Fiction,44,2060-07-18,eSkIkiVAcal,80.32275050386261
60,Fantasy,92,2069-12-26,yWYOjdYPjHLm,60.776096544855854
61,Mystery,88,2001-03-28,WIARaUzUWdzPlBdWW,62.49368166094013
62,Mystery,10,2094-11-22,nNYPkKY,79.86600063639266
63,Horror,69,2071-03-12,fesW,81.68776156328029
64,Fantasy,46,2014-08-23,CBSfmCiK,77.63085970714847
65,Biography,84,2022-10-05,gFPPvHadbHHi,117.5470440836406
66,Fantasy,70,2095-05-21,kNFqVhEjTrJa,51.37312378535276
67,Romance,77,2005-10-18,lBjVWQhfOTEw,82.67955486084459
68,History,30,2024-12-13,UieLPBTkEYIduULHxaZX,79.96077200883323
69,Fantasy,63,2036-07-12,A,101.70158788208879
70,Horror,28,2072-10-01,dDmdSA,83.74730069457073
71,Science,88,2057-01-01,WfMJuYnVzLuH,90.92999429221281
72,History,33,2078-07-28,bjgzcTCztsyXEfUwKzC,78.05582843789848
