book_id,author_id,number,recall_date
6,12,5,2015-06-06
96,34,4,2066-04-22
95,16,3,2045-02-09
80,73,4,2073-06-14
24,13,7,2081-11-21
18,46,6,2079-06-30
83,34,7,2049-04-21
38,39,2,2044-03-26
84,68,8,2046-05-01
48,26,4,2068-11-06
12,66,5,2070-10-14
81,64,10,2077-01-19
56,92,7,2063-04-20
68,14,6,2056-08-30
9,10,5,2051-09-22
41,71,5,2072-09-25
76,0,10,2095-10-11
26,11,5,2014-11-13
26,88,6,2015-02-25
30,66,3,2011-12-10
81,41,8,2070-01-24
24,27,5,2095-11-18
22,22,4,2019-06-01
60,83,2,2078-10-18
27,7,7,2024-10-02
57,7,5,2030-04-29
93,70,9,2086-09-15
43,59,3,2055-10-25
22,16,6,2075-12-04
44,71,5,2079-02-19
37,90,3,2048-12-04
74,18,4,2008-02-09
36,57,2,2019-06-25
44,40,7,2012-06-07
39,21,3,2083-05-16
69,72,2,2050-04-12
20,18,2,2084-05-18
23,89,5,2080-09-08
38,28,5,2061-07-31
61,87,5,2048-03-02
77,1,5,2001-02-02
78,53,7,2080-12-22
6,60,5,2013-10-22
97,58,6,2060-04-15
78,69,6,2010-11-03
1,73,4,2002-07-15
37,11,4,2005-02-26
35,97,6,2020-10-21
35,85,8,2088-09-29
38,15,4,2078-06-29
2,0,3,2091-08-04
0,21,3,2010-10-16
75,6,5,2043-06-30
80,97,5,2088-03-10
90,20,0,2000-04-21
35,97,3,2067-06-16
98,51,8,2069-12-11
69,81,6,2037-11-20
54,72,3,2025-04-02
12,64,5,2050-04-11
18,3,11,2026-01-29
98,78,4,2013-07-27
4,65,1,2092-09-25
85,40,5,2064-03-13
90,8,6,2084-09-25
47,1,5,2036-07-23
39,9,4,2005-09-24
35,63,2,2032-08-13
44,24,5,2020-08-19
83,24,9,2091-09-04
60,86,0,2060-04-02
82,32,2,2078-01-12
6,26,8,2064-06-17
25,48,4,2018-09-15
86,5,8,2043-12-26
43,56,4,2093-12-23
94,5,7,2068-11-30
30,13,8,2089-06-05
6,70,3,2085-01-26
86,26,3,2011-05-11
47,86,5,2074-06-01
94,51,5,2034-12-23
94,66,7,2003-11-24
13,3,4,2054-07-08
32,80,7,2090-10-14
88,60,5,2099-09-22
13,3,7,2032-12-09
41,28,6,2087-07-27
25,75,5,2072-11-24
99,57,7,2043-02-15
64,75,4,2042-06-01
24,88,6,2055-08-07
82,45,5,2042-11-29
83,27,5,2037-09-01
25,86,4,2035-08-27
68,42,2,2049-08-12
20,19,7,2066-03-17
87,94,3,2076-03-03
87,60,8,2001-08-04
34,75,3,2021-04-16
73,77,5,2073-06-03
91,10,3,2048-07-16
93,39,5,2015-11-04
5,58,7,2053-06-13
69,41,6,2091-12-13
60,16,3,2041-06-21
63,55,4,2004-01-06
89,74,3,2032-11-17
18,79,3,2025-10-28
12,3,3,2079-12-13
49,20,3,2069-09-03
36,16,5,2057-03-15
47,73,7,2006-03-21
55,64,5,2021-04-28
88,41,2,2067-05-06
86,50,5,2035-02-16
35,53,8,2048-02-22
51,62,4,2073-06-13
58,58,3,2024-09-26
22,59,3,2047-03-09
47,47,2,2023-10-09
17,46,2,2091-01-02
14,11,4,2028-06-11
66,85,2,2024-05-10
82,14,9,2043-05-05
71,92,6,2083-01-05
76,0,6,2071-12-21
43,51,4,2085-05-09
24,33,7,2039-09-18
97,65,6,2095-08-11
36,88,5,2016-01-02
67,18,5,2004-02-22
45,63,4,2028-08-27
58,48,6,2087-11-24
99,18,4,2002-01-15
36,31,9,2036-04-02
86,70,9,2078-09-17
88,57,5,2055-12-01
54,65,6,2074-03-06
40,47,4,2074-04-21
49,41,3,2020-01-19
21,55,4,2072-02-14
93,85,13,2073-12-18
6,15,7,2060-12-23
77,58,1,2055-09-27
96,81,11,2093-06-23
84,10,8,2050-06-27
54,7,4,2042-07-19
44,18,7,2001-05-03
70,31,4,2083-02-25
79,40,5,2018-09-23
20,94,6,2047-07-19
45,4,1,2054-05-15
4,45,3,2045-03-21
30,11,5,2097-05-16
99,40,5,2032-10-30
11,10,8,2050-08-13
16,94,4,2083-12-26
37,76,7,2054-05-08
4,83,5,2086-09-27
15,6,3,2019-09-09
41,37,8,2066-02-24
35,97,6,2006-12-22
72,83,5,2051-09-14
61,64,2,2047-08-11
69,23,4,2033-07-05
42,85,3,2018-08-24
65,77,7,2096-02-12
10,43,5,2027-08-27
70,97,11,2037-01-11
4,97,7,2080-09-13
2,1,4,2082-10-03
83,78,10,2023-02-17
79,59,4,2023-08-08
92,9,7,2003-07-30
40,97,6,2049-03-28
31,94,7,2027-02-03
94,28,8,2009-11-29
39,25,7,2063-01-19
44,4,5,2061-03-07
19,39,6,2069-05-05
78,59,6,2092-03-15
11,47,3,2089-08-19
26,65,4,2086-07-22
67,76,5,2083-12-04
62,80,12,2045-11-25
20,3,3,2032-09-14
32,53,5,2021-09-23
49,88,4,2024-12-22
49,32,4,2006-12-20
81,89,8,2074-01-18
31,16,4,2003-05-27
28,45,5,2053-12-06
60,50,5,2078-10-04
46,74,4,2045-03-09
92,68,4,2032-04-29
33,59,4,2028-03-25
55,14,6,2003-07-13
2,68,3,2067-08-12
43,91,1,2091-05-24
88,42,4,2074-10-04
64,53,5,2082-12-14
38,31,5,2052-08-04
14,63,6,2008-06-23
80,10,3,2029-08-24
89,73,4,2079-03-22
40,77,5,2065-06-13
74,78,7,2033-07-24
80,70,3,2013-04-16
68,82,4,2087-04-23
42,90,4,2091-06-30
54,7,8,2032-06-15
