book_id,author_id,quantity
33,44,669.50
27,28,328.26
87,42,33.88
93,99,149.36
60,54,30.16
49,42,872.04
13,38,351.61
81,24,202.70
36,79,626.58
82,65,509.93
80,43,311.99
70,4,464.62
16,96,279.02
51,77,441.47
63,93,120.17
84,27,578.89
30,4,842.66
48,85,312.46
35,68,228.01
73,47,566.82
90,11,904.54
60,39,322.68
43,56,530.66
88,21,332.87
94,48,957.39
70,33,251.12
52,26,361.17
63,90,912.95
98,0,454.58
87,17,74.91
84,31,712.36
51,59,15.19
86,88,504.74
12,91,377.04
99,50,571.51
91,71,501.14
52,89,191.44
76,4,557.34
71,26,843.54
26,58,328.42
17,57,722.57
5,78,349.20
19,95,427.03
68,6,188.17
55,95,257.59
22,28,665.82
64,27,574.28
24,91,40.41
6,41,903.33
41,49,452.87
90,59,903.00
26,68,952.96
21,85,522.26
8,38,556.59
19,59,901.36
5,30,33.73
48,33,432.98
68,27,48.37
16,6,567.12
65,46,184.35
